lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T22:00:21.300000+00:00,2026-07-31T19:00:21.300000-03:00,251.3036878928542,270.9112775124815,243,-21.698241733014584,0.9599962159991264,0,0,0,0,,0.0
punto,2026-07-31T22:10:21.300000+00:00,2026-07-31T19:10:21.300000-03:00,257.51047322154045,279.4439073529356,243,-26.553031593561172,1.2059153318405151,0,0,0,0,,0.0
punto,2026-07-31T22:20:21.300000+00:00,2026-07-31T19:20:21.300000-03:00,258.3093663826585,278.9744549784598,243,-27.267425037920475,0.7444629296660423,0,0,0,0,,0.0
punto,2026-07-31T22:30:21.300000+00:00,2026-07-31T19:30:21.300000-03:00,269.9240438789129,283.29292253268204,243,-36.17811159789562,0.8702612370252609,0,0,0,0,,0.0
punto,2026-07-31T22:40:21.300000+00:00,2026-07-31T19:40:21.300000-03:00,276.8682690486312,286.1130706316585,243,-42.61533846706152,0.8513362407684326,0,0,0,0,,0.0
punto,2026-07-31T22:50:21.300000+00:00,2026-07-31T19:50:21.300000-03:00,276.06937588751316,284.722074559245,243,-41.52069629728794,1.120858684182167,0,0,0,0,,0.0
punto,2026-07-31T23:00:21.300000+00:00,2026-07-31T20:00:21.300000-03:00,274.4715895652771,285.18956768565374,243,-40.42990827560425,1.0991478562355042,0,0,0,0,,0.0
punto,2026-07-31T23:10:21.300000+00:00,2026-07-31T20:10:21.300000-03:00,275.27048272639513,284.38739456411406,243,-41.10205186158419,1.0641895309090614,0,0,0,0,,0.0
punto,2026-07-31T23:20:21.300000+00:00,2026-07-31T20:20:21.300000-03:00,272.259270042181,284.06046313094544,243,-38.344338327646255,0.8428729102015495,0,0,0,0,,0.0
punto,2026-07-31T23:30:21.300000+00:00,2026-07-31T20:30:21.300000-03:00,275.1475760862231,282.1284401135514,243,-37.430157117545605,0.4768329858779907,0,0,0,0,,0.0
punto,2026-07-31T23:40:21.400000+00:00,2026-07-31T20:40:21.400000-03:00,224.26422705501318,274.38333956573746,243,-5.6859715059399605,0.2884763553738594,0.028461969725285002,0.0001495047654643992,0,0,-50.87486988622891,28.1
punto,2026-07-31T23:50:21.400000+00:00,2026-07-31T20:50:21.400000-03:00,216.39820208400488,265.48847507665164,243,-2.5634370520710945,-0.1078435629606247,0.07878901139973837,0.04761726780041115,0,0,-7.866024971008301,43.6
punto,2026-08-01T00:00:21.400000+00:00,2026-07-31T21:00:21.400000-03:00,208.22491051256657,253.99357126117485,243,-0.35885946452617645,0.07562306523323059,0.23917024855167268,0.16288544197346294,0.06972528499345919,0,-8.173291571438313,64.1
punto,2026-08-01T00:10:21.400000+00:00,2026-07-31T21:10:21.400000-03:00,213.44844271987677,246.28749259543704,243,-1.3536301776766777,-0.2831643670797348,0.30164455242010846,0.16251168005980196,0.023098486264249683,0,5.2235322073102,39.2
punto,2026-08-01T00:20:21.400000+00:00,2026-07-31T21:20:21.400000-03:00,215.47640228271484,256.73851455333926,243,-2.5672912001609802,-0.20578355342149734,0.20341992150999819,0.052326667912539725,0,0,2.0279595628380775,32.2
punto,2026-08-01T00:30:21.400000+00:00,2026-07-31T21:30:21.400000-03:00,240.97953011840582,277.7613898682508,243,-8.881342314183712,-0.2945193648338318,0,0,0,0,,0.0
punto,2026-08-01T00:40:21.400000+00:00,2026-07-31T21:40:21.400000-03:00,280.1252950131893,285.4446799294201,243,-41.140380293130875,0.8845079019665718,0,0,0,0,,0.0
punto,2026-08-01T00:50:21.400000+00:00,2026-07-31T21:50:21.400000-03:00,282.5834278166294,285.4141416144434,243,-42.66901621222496,1.1614945083856583,0,0,0,0,,0.0
