lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T07:50:21.500000+00:00,2026-07-31T04:50:21.500000-03:00,274.1643229648471,274.9943171792496,243,-36.14731205254793,0.013488084077835083,0,0,0,0,,0.0
punto,2026-07-31T08:00:21.500000+00:00,2026-07-31T05:00:21.500000-03:00,273.73414972424507,274.9910360703824,243,-36.10121925920248,0.011595584452152252,0,0,0,0,,0.0
punto,2026-07-31T08:10:21.500000+00:00,2026-07-31T05:10:21.500000-03:00,273.73414972424507,274.8462446522706,243,-35.95143450051546,-0.0035444125533103943,0,0,0,0,,0.0
punto,2026-07-31T08:20:21.500000+00:00,2026-07-31T05:20:21.500000-03:00,273.54978976398706,275.1567889162313,243,-36.27407284080982,-0.046072736382484436,0,0,0,0,,0.0
punto,2026-07-31T08:30:21.500000+00:00,2026-07-31T05:30:21.500000-03:00,273.61124308407307,275.5706082925457,243,-36.73113541305065,-0.009221911430358887,0,0,0,0,,0.0
punto,2026-07-31T08:40:21.500000+00:00,2026-07-31T05:40:21.500000-03:00,273.54978976398706,275.7885131981671,243,-36.677367962896824,0.05033890902996063,0,0,0,0,,0.0
punto,2026-07-31T08:50:21.500000+00:00,2026-07-31T05:50:21.500000-03:00,273.24252316355705,276.9674281322206,243,-36.496850937604904,0.04276891052722931,0,0,0,0,,0.0
punto,2026-07-31T09:00:21.500000+00:00,2026-07-31T06:00:21.500000-03:00,272.93525656312704,277.66398446097946,243,-36.33553737401962,0.06169390678405762,0,0,0,0,,0.0
punto,2026-07-31T09:10:21.500000+00:00,2026-07-31T06:10:21.500000-03:00,273.18106984347105,278.6660548622957,243,-36.68121089786291,0.10989972949028015,0,0,0,0,,0.0
punto,2026-07-31T09:20:21.500000+00:00,2026-07-31T06:20:21.500000-03:00,272.443630002439,279.72905489253844,243,-35.95145692676306,0.11179222911596298,0,0,0,0,,0.0
punto,2026-07-31T09:30:21.500000+00:00,2026-07-31T06:30:21.500000-03:00,268.38771087676287,279.5354602818075,243,-32.19128680974245,0.1005430668592453,0,0,0,0,,0.0
punto,2026-07-31T09:40:21.500000+00:00,2026-07-31T06:40:21.500000-03:00,270.35421711951494,280.17023138972326,243,-33.90429390221834,0.035198912024497986,0,0,0,0,,0.0
punto,2026-07-31T09:50:21.500000+00:00,2026-07-31T06:50:21.500000-03:00,272.259270042181,280.8090944090475,243,-35.76709696650505,0.027628913521766663,0,0,0,0,,0.0
punto,2026-07-31T10:00:21.500000+00:00,2026-07-31T07:00:21.500000-03:00,271.952003441751,279.1729029199829,243,-35.840079091489315,-0.021470241248607635,0,0,0,0,,0.0
punto,2026-07-31T10:10:21.500000+00:00,2026-07-31T07:10:21.500000-03:00,272.505083322525,278.4428349507811,243,-36.181909680366516,0.043768078088760376,0,0,0,0,,0.0
punto,2026-07-31T10:20:21.500000+00:00,2026-07-31T07:20:21.500000-03:00,272.197816722095,280.26075416295856,243,-36.50454802066088,0.13161055743694305,0,0,0,0,,0.0
punto,2026-07-31T10:30:21.500000+00:00,2026-07-31T07:30:21.500000-03:00,271.767643481493,280.4406214043196,243,-36.162717431783676,0.13728805631399155,0,0,0,0,,0.0
